	precision	recall	f1-score	support
0	0.0	0.0	0.0	8.0
1	0.0	0.0	0.0	9.0
2	0.0	0.0	0.0	10.0
3	0.0	0.0	0.0	12.0
4	0.0	0.0	0.0	10.0
5	0.0	0.0	0.0	18.0
6	0.5	0.05555555555555555	0.09999999999999999	18.0
7	0.0	0.0	0.0	10.0
8	0.7142857142857143	0.5	0.588235294117647	10.0
9	0.0	0.0	0.0	10.0
10	0.0	0.0	0.0	9.0
11	0.2857142857142857	0.23529411764705882	0.2580645161290323	17.0
12	0.0	0.0	0.0	17.0
13	0.0	0.0	0.0	10.0
14	0.0	0.0	0.0	12.0
15	0.0	0.0	0.0	12.0
16	0.0	0.0	0.0	8.0
17	0.0	0.0	0.0	12.0
18	0.3333333333333333	0.05263157894736842	0.09090909090909091	19.0
19	0.0	0.0	0.0	9.0
20	0.0	0.0	0.0	9.0
21	0.0	0.0	0.0	9.0
22	0.0	0.0	0.0	8.0
23	0.6666666666666666	0.14285714285714285	0.23529411764705882	14.0
24	0.0	0.0	0.0	16.0
25	0.0	0.0	0.0	8.0
26	0.0	0.0	0.0	17.0
27	0.0	0.0	0.0	11.0
28	0.0	0.0	0.0	9.0
29	0.0	0.0	0.0	10.0
30	0.0	0.0	0.0	8.0
31	0.0	0.0	0.0	9.0
32	0.0	0.0	0.0	15.0
33	0.1111111111111111	0.6818181818181818	0.19108280254777069	22.0
34	0.0	0.0	0.0	12.0
35	1.0	0.1111111111111111	0.19999999999999998	9.0
36	0.0	0.0	0.0	12.0
37	0.0	0.0	0.0	14.0
38	0.0945945945945946	0.2692307692307692	0.14	26.0
39	0.0	0.0	0.0	12.0
40	0.14285714285714285	0.038461538461538464	0.060606060606060615	26.0
41	0.2	0.15789473684210525	0.17647058823529413	19.0
42	0.0	0.0	0.0	8.0
43	0.030612244897959183	0.075	0.043478260869565216	40.0
44	0.0	0.0	0.0	14.0
45	0.0	0.0	0.0	15.0
46	0.0	0.0	0.0	10.0
47	0.0	0.0	0.0	13.0
48	0.2	0.05263157894736842	0.08333333333333333	19.0
49	0.0	0.0	0.0	52.0
50	0.42857142857142855	0.17647058823529413	0.25	17.0
51	0.0	0.0	0.0	19.0
52	0.6666666666666666	0.15384615384615385	0.25	13.0
53	1.0	0.06666666666666667	0.125	15.0
54	0.0	0.0	0.0	22.0
55	0.0625	0.07142857142857142	0.06666666666666667	14.0
56	0.15172413793103448	0.9565217391304348	0.26190476190476186	23.0
57	0.0	0.0	0.0	14.0
58	0.0	0.0	0.0	9.0
59	0.09090909090909091	0.09090909090909091	0.09090909090909091	22.0
60	0.0	0.0	0.0	10.0
61	0.0	0.0	0.0	11.0
62	0.0	0.0	0.0	11.0
63	1.0	0.09090909090909091	0.16666666666666669	11.0
64	0.07392996108949416	0.9047619047619048	0.1366906474820144	21.0
65	0.0	0.0	0.0	13.0
66	0.0	0.0	0.0	9.0
67	0.0	0.0	0.0	11.0
68	0.046511627906976744	0.18181818181818182	0.07407407407407407	11.0
69	0.0	0.0	0.0	8.0
70	0.0	0.0	0.0	13.0
71	0.0	0.0	0.0	16.0
72	0.0	0.0	0.0	20.0
73	0.07272727272727272	0.10256410256410256	0.0851063829787234	39.0
74	0.0	0.0	0.0	35.0
75	0.08433734939759036	0.2916666666666667	0.1308411214953271	24.0
76	0.4444444444444444	0.18181818181818182	0.2580645161290322	22.0
77	0.14754098360655737	0.35294117647058826	0.20809248554913296	51.0
78	0.056338028169014086	0.14285714285714285	0.0808080808080808	28.0
79	0.0	0.0	0.0	9.0
80	0.375	0.17647058823529413	0.24	17.0
81	0.09090909090909091	0.09523809523809523	0.09302325581395349	21.0
82	0.175	0.20588235294117646	0.18918918918918917	34.0
83	0.16666666666666666	0.17391304347826086	0.1702127659574468	23.0
84	0.0	0.0	0.0	27.0
85	0.0	0.0	0.0	18.0
86	0.0	0.0	0.0	13.0
87	0.0	0.0	0.0	12.0
88	0.0	0.0	0.0	13.0
89	0.05555555555555555	0.03225806451612903	0.04081632653061224	31.0
90	0.0	0.0	0.0	37.0
91	0.0	0.0	0.0	10.0
92	0.0	0.0	0.0	17.0
93	0.07894736842105263	0.1875	0.11111111111111109	16.0
94	0.0	0.0	0.0	14.0
95	0.0	0.0	0.0	10.0
96	0.09345794392523364	0.30303030303030304	0.14285714285714285	33.0
97	0.25	0.23076923076923078	0.24000000000000002	26.0
98	0.0	0.0	0.0	19.0
99	0.0	0.0	0.0	14.0
100	0.0	0.0	0.0	17.0
101	0.0	0.0	0.0	13.0
accuracy	0.10107015457788347	0.10107015457788347	0.10107015457788347	0.10107015457788347
macro avg	0.09696973245448998	0.07394830635008588	0.05470106225997922	1682.0
weighted avg	0.09980246644274193	0.10107015457788347	0.06791135620517119	1682.0
